"id","neighbourhood","minimum_nights","price"
30060150,"Sunset Park",8,40
2127713,"Harlem",8,98
35867923,"Williamsburg",8,80
17937309,"Greenpoint",8,150
20973084,"Harlem",8,38
15564955,"Midtown",8,230
9768333,"Astoria",8,125
35465165,"Chelsea",8,350
13235840,"Upper West Side",8,99
4299536,"Clinton Hill",8,189
4493658,"Williamsburg",8,100
28908909,"Fort Greene",8,150
24326705,"Greenpoint",8,130
2194038,"Fort Greene",8,285
16970733,"Gramercy",8,159
3700364,"Greenwich Village",8,199
18993091,"Bensonhurst",8,42
30007787,"West Village",8,130
8506745,"Bedford-Stuyvesant",8,29
4567820,"Greenpoint",8,75
16336428,"Bedford-Stuyvesant",8,40
21174693,"Borough Park",8,59
9874418,"Greenpoint",8,30
460999,"Harlem",8,100
34690725,"Long Island City",8,86
2487073,"Financial District",8,169
1925224,"Williamsburg",8,250
6927027,"Williamsburg",8,89
21733463,"Bushwick",8,55
813225,"Fort Greene",8,68
3741530,"Bedford-Stuyvesant",8,90
19049956,"Crown Heights",8,45
34368774,"Sunnyside",8,88
28286952,"Upper West Side",8,199
7215836,"East Village",8,90
17735101,"Hell's Kitchen",8,150
2078687,"Lower East Side",8,110
19387536,"Williamsburg",8,95
11939910,"East Harlem",8,60
26589357,"East Village",8,80
30376368,"East Village",8,75
8290724,"West Village",8,230
13740704,"Flatlands",8,45
4760504,"Williamsburg",8,85
19094835,"Prospect-Lefferts Gardens",8,130
28071460,"Greenpoint",8,98
9707469,"Brooklyn Heights",8,150
36228538,"Upper East Side",8,250
1213745,"Upper West Side",8,175
3858105,"Columbia St",8,75
30340086,"Harlem",8,40
21845187,"Williamsburg",8,95
22809557,"Lower East Side",8,69
7473909,"Park Slope",8,65
20435773,"East Village",8,120
9361349,"East Village",8,120
3012871,"Williamsburg",8,165
29173351,"East Village",8,60
27868079,"Brooklyn Heights",8,125
289020,"East Village",8,179
16251963,"Greenpoint",8,50
12243556,"Morningside Heights",8,70
35583579,"Upper East Side",8,90
21932693,"Williamsburg",8,65
16558246,"Upper East Side",8,220
34935216,"East Village",8,180
21635015,"Bushwick",8,60
629770,"Gramercy",8,99
3043029,"East Village",8,225
16206077,"Williamsburg",8,185
19571350,"Greenwich Village",8,106
10049711,"Upper East Side",8,90
764753,"Crown Heights",8,82
825550,"Gowanus",8,135
21982223,"Upper East Side",8,150
2807939,"Flatbush",8,100
6069703,"Williamsburg",8,179
34509379,"Brooklyn Heights",8,500
14185610,"Midtown",8,115
24285869,"Lower East Side",8,149
28611623,"Harlem",8,53
29005696,"Prospect Heights",8,90
5260942,"Harlem",8,115
22083314,"Bedford-Stuyvesant",8,57
35317854,"Upper West Side",8,165
29445977,"Harlem",8,280
14387471,"Bedford-Stuyvesant",8,45
6942211,"Upper West Side",8,185
9487497,"Cobble Hill",8,119
21455957,"Bedford-Stuyvesant",8,85
12844709,"Williamsburg",8,42
9340975,"Park Slope",8,200
9866779,"Harlem",8,30
30689655,"Park Slope",8,100
29852434,"Morningside Heights",8,55
6800858,"Williamsburg",8,89
12911110,"Upper West Side",8,90
7515281,"Crown Heights",8,40
30644741,"Financial District",8,100
33874579,"Chelsea",8,150
33186806,"Upper West Side",8,250
16701051,"Chinatown",7,100
21564599,"Cobble Hill",7,59
21562548,"Bedford-Stuyvesant",7,95
6200613,"Upper West Side",7,90
16691242,"East Village",7,50
16689593,"Williamsburg",7,60
9923887,"Williamsburg",7,50
16678888,"Carroll Gardens",7,175
16677358,"Sunset Park",7,32
16673626,"Sunset Park",7,150
16670882,"Bedford-Stuyvesant",7,175
26559,"East Village",7,140
16644223,"Park Slope",7,40
16636214,"East Flatbush",7,50
16629401,"Downtown Brooklyn",7,123
21548325,"Fort Hamilton",7,55
1635672,"West Village",7,150
4558046,"Crown Heights",7,80
4557370,"Inwood",7,90
29806412,"Upper West Side",7,310
7936161,"East Village",7,71
21537886,"Greenpoint",7,45
4556564,"Harlem",7,69
6196265,"Ditmars Steinway",7,150
21529148,"Bedford-Stuyvesant",7,100
21528920,"Flatbush",7,39
53477,"Middle Village",7,265
16568191,"Murray Hill",7,80
53470,"Ridgewood",7,140
8485571,"Upper East Side",7,140
6179500,"Kips Bay",7,115
16544473,"Williamsburg",7,122
29827671,"East Harlem",7,40
16543563,"East Village",7,95
6171211,"Crown Heights",7,32
26770045,"Williamsburg",7,120
4537297,"Rego Park",7,40
265506,"Upper East Side",7,485
23520803,"Gowanus",7,130
23519107,"Harlem",7,165
33940543,"East Flatbush",7,42
99070,"East Harlem",7,65
1820931,"Washington Heights",7,99
16497297,"Greenpoint",7,60
627432,"East Village",7,165
29832768,"Greenwich Village",7,150
16479459,"Hell's Kitchen",7,119
9713116,"Bedford-Stuyvesant",7,50
16477061,"Upper East Side",7,119
33430500,"Ridgewood",7,55
21467409,"Park Slope",7,105
16462626,"Williamsburg",7,225
23455982,"Lower East Side",7,100
29850004,"Nolita",7,130
4519764,"Washington Heights",7,29
29852201,"Bedford-Stuyvesant",7,30
16442834,"University Heights",7,110
24116631,"Washington Heights",7,82
1340982,"Upper East Side",7,169
25289487,"Crown Heights",7,60
21437933,"Bushwick",7,89
16424642,"Bushwick",7,41
29858919,"Bedford-Stuyvesant",7,150
1826701,"Harlem",7,65
16415297,"Upper East Side",7,65
865355,"Harlem",7,90
29873175,"Bushwick",7,60
16403092,"Bedford-Stuyvesant",7,140
16400971,"Washington Heights",7,150
27052657,"Upper East Side",7,99
25278711,"Hell's Kitchen",7,156
16396640,"Upper East Side",7,70
29876288,"Ditmars Steinway",7,180
16396301,"Hell's Kitchen",7,100
4500897,"Kensington",7,115
16393500,"Fort Greene",7,55
23433585,"Randall Manor",7,31
33406453,"Financial District",7,169
33406391,"Financial District",7,169
21397638,"Lower East Side",7,250
16374819,"Astoria",7,225
29881973,"Harlem",7,35
607781,"East Harlem",7,120
16360727,"Crown Heights",7,100
33406321,"Williamsburg",7,70
33406274,"Financial District",7,169
16338348,"Chinatown",7,129
16337890,"Bedford-Stuyvesant",7,55
16335101,"Flatbush",7,92
7397237,"Bedford-Stuyvesant",7,100
33406188,"Financial District",7,169
29891697,"Gramercy",7,165
16333541,"North Riverdale",7,125
16332208,"Bushwick",7,31
33406037,"Financial District",7,169
16322824,"Harlem",7,245
33405611,"Financial District",7,169
16319001,"Bushwick",7,50
16318720,"Harlem",7,120
25262795,"Gravesend",7,100
7221712,"Williamsburg",7,86
29900575,"Hell's Kitchen",7,75
21375941,"Boerum Hill",7,800
16311513,"Williamsburg",7,58
33400613,"Financial District",7,169
16309579,"Boerum Hill",7,60
33400202,"Financial District",7,169
16308886,"Chinatown",7,151
29906233,"Parkchester",7,45
4467771,"Chelsea",7,345
16296973,"Harlem",7,52
6105240,"Greenpoint",7,245
16288234,"Bedford-Stuyvesant",7,40
1335510,"Williamsburg",7,115
33399897,"Financial District",7,169
29909672,"Chelsea",7,250
7473810,"Bedford-Stuyvesant",7,400
25234477,"Upper East Side",7,175
16258672,"Clinton Hill",7,135
27546132,"Hell's Kitchen",7,55
16256074,"Williamsburg",7,35
4449611,"Bushwick",7,200
16251572,"Greenpoint",7,60
27546295,"Hell's Kitchen",7,55
16244096,"Sunset Park",7,50
16242292,"Williamsburg",7,47
21344739,"Long Island City",7,130
16238449,"Kensington",7,90
16237773,"Upper East Side",7,160
33399665,"Financial District",7,169
856440,"Hell's Kitchen",7,176
16226031,"Morningside Heights",7,110
16224523,"Bedford-Stuyvesant",7,30
1334793,"Carroll Gardens",7,495
1524895,"Washington Heights",7,138
9703075,"Bushwick",7,113
6076202,"Brooklyn Heights",7,198
29926808,"Jackson Heights",7,100
4436944,"Crown Heights",7,150
16205491,"Williamsburg",7,150
33391826,"West Village",7,248
594732,"Greenwich Village",7,331
145064,"Williamsburg",7,145
16190110,"Prospect-Lefferts Gardens",7,36
4430645,"Bedford-Stuyvesant",7,200
29938457,"Greenwich Village",7,165
29938894,"Bedford-Stuyvesant",7,75
23377429,"Kensington",7,175
27551436,"Cobble Hill",7,80
28359512,"East Village",7,195
27551517,"Upper East Side",7,70
21295951,"Crown Heights",7,60
21295334,"Upper West Side",7,250
1843674,"Bedford-Stuyvesant",7,122
21295218,"Bedford-Stuyvesant",7,60
21288895,"Williamsburg",7,350
21275837,"Murray Hill",7,100
9698691,"Jackson Heights",7,105
16145655,"Sunnyside",7,135
29946074,"Jackson Heights",7,100
25231699,"Bushwick",7,70
29946757,"Bedford-Stuyvesant",7,125
6044268,"Battery Park City",7,195
26362898,"Bushwick",7,60
6807281,"Prospect-Lefferts Gardens",7,130
16134745,"Williamsburg",7,300
4417147,"Midtown",7,425
29955544,"Greenpoint",7,270
29956865,"Crown Heights",7,50
9695552,"Morningside Heights",7,150
16122441,"East Harlem",7,150
26668703,"Red Hook",7,125
25231000,"West Village",7,180
23344243,"Chelsea",7,146
7604021,"Upper West Side",7,110
593000,"Upper East Side",7,110
25226728,"Greenpoint",7,300
27061395,"West Village",7,59
16086039,"Upper West Side",7,85
16081021,"Ridgewood",7,69
6014926,"East Village",7,140
28372451,"Chelsea",7,110
21214554,"Ridgewood",7,90
4404818,"Washington Heights",7,110
6006661,"Jackson Heights",7,90
16053606,"Upper West Side",7,88
26847614,"Crown Heights",7,40
9362388,"Harlem",7,90
1092760,"Bedford-Stuyvesant",7,110
32036785,"Sunnyside",7,33
16000062,"Crown Heights",7,300
15989547,"Bedford-Stuyvesant",7,41
587554,"West Village",7,200
26361090,"Upper West Side",7,350
15984242,"Harlem",7,42
15980715,"Bushwick",7,46
29978942,"Bedford-Stuyvesant",7,50
1090732,"Richmond Hill",7,60
27573483,"Fort Greene",7,200
15955297,"Brooklyn Heights",7,275
15944313,"Flatbush",7,42
21191462,"Crown Heights",7,70
169483,"Gravesend",7,106
9694001,"West Village",7,250
15915152,"Murray Hill",7,180
23302837,"Bedford-Stuyvesant",7,40
15911137,"Harlem",7,200
1089619,"Washington Heights",7,40
15899421,"Upper West Side",7,128
15895829,"West Village",7,125
33362018,"Williamsburg",7,163
4370230,"Nolita",7,215
21174445,"Sunnyside",7,55
21161561,"Upper East Side",7,239
6970005,"Greenwich Village",7,230
9692074,"Morningside Heights",7,200
9333533,"Williamsburg",7,50
849603,"Crown Heights",7,100
23254924,"Chinatown",7,92
23249573,"Sunset Park",7,180
5943770,"Upper West Side",7,60
95747,"Williamsburg",7,140
15854348,"Chinatown",7,300
15845077,"Bedford-Stuyvesant",7,85
21108458,"Williamsburg",7,45
1847434,"Bedford-Stuyvesant",7,150
15819933,"Ridgewood",7,20
9691842,"Williamsburg",7,90
21072318,"Williamsburg",7,350
21064623,"Hell's Kitchen",7,160
2198970,"Washington Heights",7,55
30006988,"Greenpoint",7,249
32450788,"Bushwick",7,90
29565377,"Greenpoint",7,250
7636986,"Long Island City",7,150
2296024,"Riverdale",7,250
33558241,"Harlem",7,100
26996673,"Windsor Terrace",7,120
17731252,"Prospect Heights",7,95
25426171,"Hell's Kitchen",7,55
17729625,"Bushwick",7,145
26085247,"Williamsburg",7,100
21849942,"West Village",7,190
17710717,"Bedford-Stuyvesant",7,100
6328046,"Upper West Side",7,141
21845154,"East Village",7,180
23762153,"Harlem",7,50
21843831,"East Flatbush",7,80
21838658,"Chelsea",7,99
9970995,"Williamsburg",7,63
17683903,"Prospect-Lefferts Gardens",7,190
17682081,"Brooklyn Heights",7,140
8400115,"Greenpoint",7,60
17681190,"Williamsburg",7,150
33554251,"Bensonhurst",7,39
17670245,"Flatbush",7,56
2319588,"Financial District",7,130
17667585,"Williamsburg",7,88
21833654,"Financial District",7,45
29604741,"Upper West Side",7,285
34208055,"Sunnyside",7,50
31993541,"Crown Heights",7,50
4725852,"Williamsburg",7,100
918426,"Prospect Heights",7,70
23748179,"Harlem",7,150
17654277,"Bayside",7,65
6326959,"Washington Heights",7,125
28157869,"East Flatbush",7,50
4720121,"Upper East Side",7,500
29611144,"Hell's Kitchen",7,99
33980946,"Harlem",7,98
25424320,"Greenpoint",7,110
7725197,"Bedford-Stuyvesant",7,47
9749603,"Flushing",7,65
12303,"Fort Greene",7,120
26494149,"East Harlem",7,150
17605255,"Crown Heights",7,45
28161907,"Murray Hill",7,150
1343532,"Crown Heights",7,40
17560078,"Upper East Side",7,60
17559679,"Carroll Gardens",7,200
21822768,"Upper West Side",7,228
25415951,"Inwood",7,120
33971163,"Williamsburg",7,66
9845314,"Bushwick",7,129
17556208,"Harlem",7,63
17555918,"Chelsea",7,90
1798271,"Woodrow",7,700
4708909,"Hell's Kitchen",7,225
668400,"Inwood",7,50
23741304,"Astoria",7,75
21801514,"Nolita",7,270
6972534,"Williamsburg",7,55
17538067,"Bedford-Stuyvesant",7,55
4704813,"Upper East Side",7,235
17532802,"Sunset Park",7,100
23722695,"Prospect Heights",7,750
4700894,"East Harlem",7,200
17495518,"Upper East Side",7,122
27010922,"Bedford-Stuyvesant",7,65
4697809,"Flatiron District",7,95
17465199,"Greenwich Village",7,123
21788688,"Flatbush",7,85
28184830,"Williamsburg",7,50
29635253,"Maspeth",7,100
6919797,"Hell's Kitchen",7,269
17448930,"Williamsburg",7,160
26061532,"Flatiron District",7,349
4690677,"Flatiron District",7,110
2222641,"West Village",7,165
4681193,"Jackson Heights",7,105
17423413,"Howard Beach",7,100
21784437,"Bedford-Stuyvesant",7,65
17405812,"Upper West Side",7,110
8419475,"Bushwick",7,60
33514031,"NoHo",7,106
1514939,"Prospect-Lefferts Gardens",7,79
6300809,"Upper West Side",7,299
21783298,"Upper West Side",7,145
32008192,"Bedford-Stuyvesant",7,295
21780343,"Prospect Heights",7,96
21778446,"Pelham Bay",7,99
27014758,"Bedford-Stuyvesant",7,50
100186,"Gowanus",7,130
24062062,"Bushwick",7,180
8423636,"Crown Heights",7,80
23684349,"Williamsburg",7,49
906038,"Upper West Side",7,170
24044352,"Astoria",7,99
6908140,"Clinton Hill",7,450
6902147,"Crown Heights",7,65
17305490,"Astoria",7,150
4666794,"Ditmars Steinway",7,60
4663804,"Hell's Kitchen",7,79
34316785,"Bedford-Stuyvesant",7,25
29674246,"Battery Park City",7,650
17281121,"Washington Heights",7,60
6898600,"Midwood",7,89
21740756,"Sunset Park",7,45
17269342,"Hell's Kitchen",7,185
33962986,"East Flatbush",7,40
9735931,"Crown Heights",7,50
655783,"Midtown",7,285
21730366,"Bushwick",7,75
17211881,"Astoria",7,100
17197830,"Bushwick",7,30
1438870,"Harlem",7,65
7728265,"Bedford-Stuyvesant",7,32
9735503,"Astoria",7,100
26395296,"Upper East Side",7,110
255957,"Nolita",7,495
4642913,"Windsor Terrace",7,120
28220182,"Prospect-Lefferts Gardens",7,85
4641406,"Harlem",7,100
9733280,"Gramercy",7,149
23665341,"Sunnyside",7,60
21718049,"Chelsea",7,185
23661749,"Clinton Hill",7,75
21713551,"Upper East Side",7,138
21700909,"Hell's Kitchen",7,175
28222827,"Hell's Kitchen",7,75
9733138,"Williamsburg",7,140
21700026,"Clinton Hill",7,188
33474092,"Upper West Side",7,50
9732834,"Greenpoint",7,70
649903,"Crown Heights",7,90
2217342,"West Village",7,185
28228599,"East Flatbush",7,65
25354569,"Bedford-Stuyvesant",7,200
21685016,"Bedford-Stuyvesant",7,175
17076329,"Midtown",7,275
33472626,"Inwood",7,57
6259989,"Crown Heights",7,60
21679463,"Brownsville",7,95
4623635,"Fort Greene",7,225
33962313,"East Flatbush",7,40
4623217,"East Village",7,100
33467309,"Williamsburg",7,120
4620262,"Little Italy",7,60
21678001,"East Harlem",7,108
25349077,"Inwood",7,50
33961801,"East Flatbush",7,40
21669411,"Crown Heights",7,31
1276760,"Williamsburg",7,75
23612962,"Financial District",7,115
4613154,"Hell's Kitchen",7,150
9969773,"South Slope",7,250
24017521,"East Harlem",7,74
7644505,"South Slope",7,300
4607923,"Sunset Park",7,55
21660363,"Harlem",7,75
16897571,"Lower East Side",7,110
6252815,"Park Slope",7,150
1808550,"Bedford-Stuyvesant",7,75
7733236,"Sunnyside",7,55
7241020,"Washington Heights",7,115
29740134,"Washington Heights",7,42
9726043,"Kensington",7,95
27509562,"Brownsville",7,45
16851792,"South Slope",7,65
16840727,"Bedford-Stuyvesant",7,30
21633621,"Harlem",7,111
29756137,"Edgemere",7,80
29756451,"Carroll Gardens",7,138
29756773,"Bedford-Stuyvesant",7,100
23576132,"Williamsburg",7,39
16827163,"DUMBO",7,200
16823923,"Upper West Side",7,250
16821077,"Windsor Terrace",7,80
16811150,"Clinton Hill",7,100
27028248,"Upper West Side",7,155
8460304,"Midtown",7,285
9404709,"Sunset Park",7,90
23575012,"Gramercy",7,120
26388810,"Williamsburg",7,259
29761272,"Cambria Heights",7,100
29761534,"Greenpoint",7,100
6234329,"Astoria",7,200
21594091,"Bushwick",7,45
16798351,"East Village",7,115
6854221,"Greenpoint",7,40
16793429,"Little Italy",7,150
29776064,"Harlem",7,130
29776235,"East Harlem",7,150
26058634,"Chelsea",7,350
16764130,"Mott Haven",7,80
33945670,"City Island",7,100
21590125,"Gowanus",7,40
29778804,"Astoria",7,25
28284019,"East Harlem",7,125
29780117,"Sheepshead Bay",7,75
8470974,"Chelsea",7,275
21578513,"Bedford-Stuyvesant",7,31
17092,"Hell's Kitchen",7,51
16737042,"Astoria",7,60
23561980,"NoHo",7,175
25316571,"Greenpoint",7,200
6209799,"Gramercy",7,150
21568652,"Ozone Park",7,50
7237763,"Brooklyn Heights",7,250
29792926,"West Village",7,179
29794028,"Bedford-Stuyvesant",7,60
25784814,"Hell's Kitchen",7,120
780858,"Fort Greene",7,145
3220115,"Clinton Hill",7,115
25776872,"Windsor Terrace",7,375
24694397,"Ridgewood",7,200
8963790,"Roosevelt Island",7,180
8963968,"Prospect Heights",7,47
3213813,"Crown Heights",7,100
6481924,"Sunset Park",7,105
3212765,"Midtown",7,125
30856920,"Bedford-Stuyvesant",7,110
34056586,"Bushwick",7,350
19459082,"East Village",7,60
261781,"West Village",7,375
19458462,"Clinton Hill",7,210
29080980,"East Flatbush",7,70
5136673,"Bedford-Stuyvesant",7,40
3199681,"Forest Hills",7,50
9514193,"East Village",7,199
9513511,"Allerton",7,85
29081288,"East Flatbush",7,90
11944718,"East Harlem",7,69
5127131,"East Village",7,185
19409691,"Upper East Side",7,125
11929230,"Williamsburg",7,60
19408027,"Crown Heights",7,35
19407992,"Williamsburg",7,250
33718909,"Upper East Side",7,395
1147524,"Ditmars Steinway",7,175
34262617,"Midtown",7,129
3172778,"Williamsburg",7,170
5122899,"East Harlem",7,61
27220502,"Hell's Kitchen",7,120
34260123,"Ridgewood",7,210
1970915,"Bushwick",7,80
33717575,"Hell's Kitchen",7,150
31885987,"South Slope",7,65
27359696,"East New York",7,65
1582540,"NoHo",7,90
22266234,"Hell's Kitchen",7,329
19376114,"East Flatbush",7,37
22263855,"SoHo",7,3000
11833497,"South Slope",7,100
22260331,"Bedford-Stuyvesant",7,48
3161739,"Bedford-Stuyvesant",7,125
363673,"Upper West Side",7,3000
31857171,"Washington Heights",7,89
19355497,"Clinton Hill",7,37
9505047,"Williamsburg",7,80
5105514,"Williamsburg",7,90
11788559,"Harlem",7,450
11786930,"Cobble Hill",7,490
11784410,"Harlem",7,50
36487245,"Hell's Kitchen",7,90
36482783,"Williamsburg",7,190
36479230,"Bushwick",7,42
357509,"Midtown",7,110
36477588,"East Harlem",7,50
36473253,"Gravesend",7,25
19342315,"Washington Heights",7,43
5102132,"Bushwick",7,45
27359897,"East New York",7,45
5093352,"Harlem",7,83
36468375,"East Village",7,93
32138645,"Bushwick",7,55
22233024,"Nolita",7,225
8993461,"East Village",7,90
355106,"Prospect-Lefferts Gardens",7,92
1150514,"Fort Greene",7,138
36453030,"Astoria",7,210
26807636,"East Village",7,88
19314050,"Clinton Hill",7,130
22227610,"Borough Park",7,70
22226558,"Ozone Park",7,125
3121176,"Williamsburg",7,50
11716947,"Greenpoint",7,45
33709566,"Bushwick",7,60
19294842,"East New York",7,55
11714137,"Gowanus",7,250
36442487,"Sheepshead Bay",7,140
36441134,"Williamsburg",7,150
5070378,"Williamsburg",7,150
36438110,"Upper East Side",7,140
36428186,"Morrisania",7,80
19282891,"Astoria",7,150
33705120,"Harlem",7,600
36427393,"Chelsea",7,225
11689818,"Bushwick",7,70
11675817,"Chinatown",7,120
36414101,"Harlem",7,90
22222996,"Harlem",7,35
6464881,"Prospect Heights",7,85
11667455,"Upper West Side",7,350
3100156,"Upper East Side",7,120
19265766,"Bedford-Stuyvesant",7,200
32379410,"Upper East Side",7,260
9872904,"Lower East Side",7,55
11655500,"Crown Heights",7,106
11651929,"Washington Heights",7,95
9494304,"East Harlem",7,325
19249099,"Chelsea",7,140
29132728,"Kips Bay",7,175
24038899,"East Harlem",7,115
5066900,"Bedford-Stuyvesant",7,50
22205765,"Greenwich Village",7,400
11637578,"Washington Heights",7,26
7062987,"Upper East Side",7,140
36375840,"Financial District",7,158
36374510,"East New York",7,200
26186295,"Rosedale",7,70
36371082,"Bushwick",7,45
769279,"East Village",7,100
34255740,"Chelsea",7,134
19240100,"Red Hook",7,90
36345653,"Bedford-Stuyvesant",7,80
11618338,"Williamsburg",7,63
22205280,"Bedford-Stuyvesant",7,140
29135797,"East Village",7,187
22203739,"Tribeca",7,135
36334586,"Hell's Kitchen",7,239
30955204,"Astoria",7,55
8235820,"Williamsburg",7,77
24573069,"East Village",7,129
767967,"Chelsea",7,105
30956885,"NoHo",7,550
19225880,"Ridgewood",7,80
261344,"Financial District",7,101
24569072,"Harlem",7,119
19221072,"Upper West Side",7,110
36317597,"East Village",7,40
19212024,"Prospect Heights",7,160
36314672,"Bushwick",7,43
22192285,"Upper East Side",7,150
25769495,"NoHo",7,80
32661869,"Bushwick",7,60
24121842,"Bedford-Stuyvesant",7,49
36305966,"Brighton Beach",7,150
30965275,"Bedford-Stuyvesant",7,40
22187524,"Williamsburg",7,250
36301030,"Gramercy",7,250
24554027,"Crown Heights",7,974
36280858,"Sunset Park",7,30
36276938,"East Flatbush",7,159
33683557,"Williamsburg",7,65
19163061,"Tribeca",7,160
19162994,"Chelsea",7,280
3039332,"Kensington",7,499
32655912,"Upper East Side",7,137
19139234,"Harlem",7,101
22177035,"Williamsburg",7,69
36265137,"Woodside",7,50
19134850,"Long Island City",7,90
36241854,"Gramercy",7,150
9973680,"Williamsburg",7,55
19122483,"Upper West Side",7,800
27380062,"Bushwick",7,47
19120410,"Morningside Heights",7,130
36231329,"Upper West Side",7,240
3010988,"Crown Heights",7,32
5019373,"Williamsburg",7,80
1752112,"Upper West Side",7,400
5015281,"Gramercy",7,1000
11528951,"Crown Heights",7,250
31018857,"Harlem",7,100
3004563,"Prospect-Lefferts Gardens",7,50
11503509,"Morningside Heights",7,375
36205494,"Gravesend",7,85
2997377,"Washington Heights",7,39
5013556,"Crown Heights",7,148
34037737,"Hell's Kitchen",7,200
19098568,"Kensington",7,99
24538218,"Bedford-Stuyvesant",7,60
9036422,"Upper West Side",7,125
24527051,"Sheepshead Bay",7,36
24522061,"Roosevelt Island",7,50
19093551,"Midwood",7,70
22165797,"Sheepshead Bay",7,45
9040931,"Fort Greene",7,79
36169832,"Harlem",7,50
36164533,"Williamsburg",7,65
36164019,"Prospect-Lefferts Gardens",7,33
19081969,"Midtown",7,1200
2979714,"Harlem",7,80
19081224,"Bronxdale",7,100
34035571,"Williamsburg",7,75
32636494,"Harlem",7,134
9042254,"East Village",7,90
19058675,"Washington Heights",7,108
757007,"Bedford-Stuyvesant",7,175
36142296,"Bushwick",7,45
36142215,"Kensington",7,54
36140542,"Flatbush",7,85
36115183,"Pelham Bay",7,55
26167034,"Crown Heights",7,100
24493058,"Harlem",7,225
25736749,"Upper West Side",7,220
19049402,"Battery Park City",7,350
9045876,"Harlem",7,175
36109132,"Sunnyside",7,59
2959036,"Washington Heights",7,115
4989295,"Prospect Heights",7,230
7750,"East Harlem",7,190
329385,"Inwood",7,87
9047417,"Lower East Side",7,140
36100744,"Glendale",7,125
24471239,"Crown Heights",7,50
31058866,"Prospect-Lefferts Gardens",7,70
19036088,"Williamsburg",7,60
9488756,"Bedford-Stuyvesant",7,70
36066526,"Bushwick",7,250
22129871,"East Village",7,110
31061295,"Sunset Park",7,120
31062827,"Bedford-Stuyvesant",7,120
