"id","neighbourhood","price","availability_365","reviews_per_month","annual_revenue_potential"
273190,"West Village",1300,297,"0.31",386100
2261367,"Sea Gate",1485,260,"0.24",386100
18935359,"Flushing",1500,256,NULL,384000
36061406,"Chelsea",1050,365,NULL,383250
34981637,"Bay Ridge",4200,90,NULL,378000
31615207,"Midtown",1295,289,"0.48",374255
15857334,"Midtown",1020,365,"0.39",372300
10386936,"Williamsburg",1002,365,"0.25",365730
23894929,"Chinatown",1000,365,"0.25",365000
25416257,"Prospect-Lefferts Gardens",1000,365,"0.12",365000
8713685,"Gowanus",1000,365,NULL,365000
13601777,"Bedford-Stuyvesant",1000,365,"0.28",365000
1171581,"Hell's Kitchen",1000,365,NULL,365000
5015281,"Gramercy",1000,365,NULL,365000
18175061,"Briarwood",1000,365,"0.27",365000
12851307,"Williamsburg",1000,365,"0.16",365000
16807028,"Flatbush",1000,365,"0.31",365000
27457026,"Jamaica",1000,365,NULL,365000
16489149,"Midtown",999,365,"0.05",364635
27047594,"Clinton Hill",999,365,"0.22",364635
841211,"Chelsea",999,365,"0.4",364635
4623622,"St. George",1000,364,NULL,364000
1146653,"Upper West Side",1000,364,"0.33",364000
21665632,"SoHo",1000,364,NULL,364000
26750740,"Financial District",995,365,NULL,363175
29605492,"Brooklyn Heights",1000,363,NULL,363000
23372850,"Williamsburg",2000,177,NULL,354000
34981466,"Midtown",975,363,NULL,353925
23373090,"Williamsburg",2500,140,NULL,350000
9519514,"West Village",1200,290,"0.16",348000
35252356,"Flatiron District",950,365,NULL,346750
10901255,"West Village",1100,313,"0.12",344300
35233735,"Hell's Kitchen",930,360,NULL,334800
826690,"Prospect Heights",4000,83,NULL,332000
702551,"Upper West Side",900,365,"0.09",328500
2297259,"Boerum Hill",900,365,NULL,328500
21175139,"Harlem",1500,219,"0.14",328500
35199464,"Far Rockaway",900,365,NULL,328500
16018094,"Midtown",899,365,"0.06",328135
16542864,"Midtown",895,365,NULL,326675
9753240,"SoHo",1000,326,"0.23",326000
16333020,"Upper West Side",900,362,NULL,325800
12865981,"Midtown",900,358,NULL,322200
34543513,"Upper West Side",950,339,NULL,322050
34999415,"Chelsea",900,355,NULL,319500
34253279,"Far Rockaway",875,365,NULL,319375
35109246,"Cobble Hill",1750,179,NULL,313250
35481836,"Flatiron District",1750,178,NULL,311500
18271282,"SoHo",850,365,"0.26",310250
32235802,"West Village",999,310,"0.39",309690
909859,"Park Slope",890,341,"0.34",303490
35800046,"Upper East Side",1100,270,NULL,297000
843524,"Bushwick",800,365,"0.45",292000
20305160,"Fort Wadsworth",800,365,NULL,292000
16100032,"Midtown",799,365,"0.03",291635
9793542,"SoHo",799,365,"0.4",291635
16310798,"Midtown",799,365,"0.1",291635
16087249,"Midtown",799,365,"0.03",291635
15218699,"Midtown",799,365,"0.09",291635
15218066,"Midtown",799,365,"0.06",291635
15205915,"Midtown",799,365,"0.09",291635
16159901,"Midtown",799,365,"0.03",291635
14842856,"Sunset Park",800,364,"0.04",291200
1370154,"West Village",800,364,"0.03",291200
27959042,"Kips Bay",799,364,"0.1",290836
23766156,"Cypress Hills",800,362,"0.21",289600
22780103,"Upper East Side",6419,45,NULL,288855
35232437,"Hell's Kitchen",800,360,NULL,288000
24137869,"Harlem",1500,192,NULL,288000
20604857,"Murray Hill",799,359,"0.09",286841
30101694,"Hell's Kitchen",800,358,NULL,286400
12591059,"Prospect-Lefferts Gardens",800,357,"0.1",285600
15392689,"East Harlem",1500,188,"0.18",282000
14012606,"SoHo",822,342,NULL,281124
20309605,"Tribeca",1500,186,"0.11",279000
256328,"Chelsea",760,361,"0.08",274360
32123225,"Midtown",799,343,"0.39",274057
27056608,"Kips Bay",750,365,NULL,273750
3420648,"Hell's Kitchen",750,365,"0.27",273750
9132731,"Clinton Hill",750,365,"0.17",273750
13859707,"Bedford-Stuyvesant",750,365,NULL,273750
35233128,"West Village",750,365,NULL,273750
15204878,"Midtown",749,365,"0.15",273385
15497821,"Hell's Kitchen",748,365,"0.08",273020
15505535,"Hell's Kitchen",748,365,NULL,273020
15497673,"Hell's Kitchen",748,365,NULL,273020
15230576,"Hell's Kitchen",748,365,NULL,273020
1147507,"East Village",750,364,"0.18",273000
6209994,"Clinton Hill",750,364,"0.34",273000
15234201,"Midtown",748,364,NULL,272272
34997446,"Williamsburg",995,272,NULL,270640
22207357,"Brighton Beach",3000,90,NULL,270000
36186719,"Chelsea",999,270,NULL,269730
32065845,"Theater District",890,301,"0.41",267890
32037930,"East Village",1500,178,NULL,267000
12221970,"Arverne",750,352,"0.36",264000
35833041,"Financial District",750,352,NULL,264000
6138423,"Upper West Side",950,274,"0.13",260300
640589,"West Village",700,365,"0.01",255500
34177117,"Theater District",699,365,NULL,255135
30469464,"Midtown",699,365,NULL,255135
16099666,"Midtown",699,365,"0.03",255135
15149591,"Midtown",699,365,"0.12",255135
15206607,"Midtown",699,365,"0.09",255135
16147304,"Midtown",699,365,"0.06",255135
34362400,"Flushing",688,365,NULL,251120
15140627,"Tribeca",894,280,NULL,250320
18071399,"Chelsea",2800,89,NULL,249200
15233592,"Hell's Kitchen",748,333,NULL,249084
32562943,"Upper East Side",700,341,NULL,238700
35937891,"Financial District",699,341,NULL,238359
89427,"Clinton Hill",650,365,NULL,237250
32285425,"Downtown Brooklyn",650,365,"0.29",237250
16098020,"Midtown",649,365,"0.03",236885
15218579,"Midtown",649,365,"0.39",236885
24633966,"Lower East Side",700,338,NULL,236600
14471418,"Midtown",650,363,"0.42",235950
34313143,"Financial District",699,337,NULL,235563
36074198,"SoHo",1308,179,NULL,234132
31909623,"Midtown",699,333,"0.39",232767
34311549,"Theater District",699,333,NULL,232767
34203594,"Theater District",699,333,NULL,232767
34313960,"Financial District",699,333,NULL,232767
19226980,"Bedford-Stuyvesant",650,358,NULL,232700
4318364,"Chelsea",650,358,"0.13",232700
34183825,"Theater District",699,332,NULL,232068
35936418,"Financial District",699,327,NULL,228573
20621413,"Midtown",699,324,"0.2",226476
5442313,"Bedford-Stuyvesant",700,322,"0.13",225400
31470004,"East Village",2500,90,NULL,225000
893413,"East Village",2500,89,"0.26",222500
12339863,"Tribeca",2500,89,NULL,222500
5006113,"SoHo",760,292,"0.04",221920
35454095,"Upper East Side",800,277,NULL,221600
35464309,"Kips Bay",900,245,NULL,220500
36029691,"Midtown",650,337,NULL,219050
7024342,"Canarsie",600,365,NULL,219000
30735480,"Lower East Side",600,365,NULL,219000
15206157,"Midtown",599,365,"0.24",218635
16487823,"Midtown",599,365,"0.07",218635
16437326,"Midtown",599,365,NULL,218635
13306156,"Canarsie",600,362,NULL,217200
23169146,"Long Island City",1250,173,"0.06",216250
27759455,"Midtown",800,270,"0.31",216000
34890465,"Midtown",590,365,NULL,215350
23744773,"Upper West Side",800,269,NULL,215200
20330081,"Riverdale",800,269,"0.04",215200
10089727,"Midtown",587,365,"0.16",214255
35871541,"Upper East Side",600,357,NULL,214200
19964849,"Upper East Side",795,268,"0.42",213060
35900353,"Kips Bay",600,355,NULL,213000
35859800,"Financial District",600,355,NULL,213000
7823495,"Chelsea",800,266,"0.48",212800
35595716,"Midtown",800,266,NULL,212800
35249610,"Hell's Kitchen",700,304,NULL,212800
21762711,"Bedford-Stuyvesant",700,303,"0.42",212100
762145,"Upper West Side",600,353,"0.12",211800
30815183,"Upper East Side",590,358,NULL,211220
34543905,"Financial District",650,323,NULL,209950
738588,"Arrochar",625,335,"0.02",209375
30718238,"Hell's Kitchen",575,364,NULL,209300
4000561,"Morningside Heights",600,344,NULL,206400
29393117,"Midtown",670,305,NULL,204350
36146672,"Hell's Kitchen",561,364,NULL,204204
35635841,"Kips Bay",800,254,NULL,203200
33737434,"Lower East Side",699,290,NULL,202710
13443640,"Midtown",1100,184,NULL,202400
36120857,"Williamsburg",595,340,NULL,202300
35023464,"Midtown",650,310,NULL,201500
34036047,"Harlem",550,365,NULL,200750
1016352,"Hell's Kitchen",550,365,NULL,200750
36099118,"Upper West Side",583,343,NULL,199969
14191921,"Theater District",560,356,NULL,199360
27215807,"Hell's Kitchen",550,360,NULL,198000
5041891,"Upper West Side",795,249,"0.42",197955
35028480,"Midtown",650,303,NULL,196950
3509822,"Bushwick",550,358,"0.1",196900
29565064,"Greenwich Village",600,328,NULL,196800
21375941,"Boerum Hill",800,246,"0.11",196800
35794415,"Kips Bay",650,302,NULL,196300
34543610,"Upper West Side",580,337,NULL,195460
15496314,"Hell's Kitchen",534,365,NULL,194910
15230339,"Hell's Kitchen",534,365,NULL,194910
15496616,"Hell's Kitchen",534,365,NULL,194910
15497088,"Hell's Kitchen",534,365,NULL,194910
15497406,"Hell's Kitchen",534,365,NULL,194910
15497229,"Hell's Kitchen",534,365,NULL,194910
35943648,"Bushwick",550,354,NULL,194700
27406282,"Hell's Kitchen",550,353,"0.09",194150
35870390,"West Village",550,353,NULL,194150
34938245,"Kips Bay",650,298,NULL,193700
11105968,"West Village",550,352,NULL,193600
32342911,"Hell's Kitchen",650,297,"0.25",193050
35059177,"Upper West Side",600,319,NULL,191400
32561334,"Upper East Side",540,351,NULL,189540
3946288,"East Harlem",540,350,"0.38",189000
34511584,"Midtown",560,337,NULL,188720
33396290,"Washington Heights",560,335,"0.31",187600
27278017,"Midtown",550,339,NULL,186450
34998610,"Williamsburg",595,313,NULL,186235
5146173,"West Village",510,364,"0.24",185640
27237591,"Midtown",737,249,"0.36",183513
30193239,"Midtown",714,257,"0.19",183498
30193258,"Midtown",714,257,"0.16",183498
30193023,"Midtown",714,257,"0.19",183498
30193428,"Midtown",714,257,NULL,183498
30193344,"Midtown",714,257,NULL,183498
30193326,"Midtown",714,257,NULL,183498
30193314,"Midtown",714,257,NULL,183498
30193432,"Midtown",714,257,NULL,183498
30193485,"Midtown",714,257,NULL,183498
30193408,"Midtown",714,257,NULL,183498
12167819,"Astoria",500,365,"0.39",182500
35317128,"Williamsburg",500,365,NULL,182500
29800895,"Flushing",500,365,NULL,182500
3552043,"Clinton Hill",500,365,"0.36",182500
25520827,"South Slope",500,365,NULL,182500
29424522,"Midtown",500,365,NULL,182500
9991265,"West Village",500,365,NULL,182500
12560137,"Harlem",500,365,NULL,182500
2361020,"Bedford-Stuyvesant",500,365,"0.19",182500
30313152,"Hell's Kitchen",499,365,NULL,182135
19548503,"Greenwich Village",499,365,"0.44",182135
36415840,"Williamsburg",499,365,NULL,182135
15206836,"Midtown",499,365,"0.36",182135
15218299,"Midtown",499,365,"0.21",182135
17256799,"Midtown",500,364,NULL,182000
5402672,"Murray Hill",499,364,"0.09",181636
23293483,"Midtown",500,363,NULL,181500
3139749,"Harlem",500,363,"0.05",181500
19279519,"Upper East Side",500,363,NULL,181500
34517661,"Midtown",500,363,NULL,181500
25049405,"Tribeca",500,363,"0.09",181500
27987391,"Flushing",499,363,NULL,181137
34483434,"Midtown",500,362,NULL,181000
4624657,"Bedford-Stuyvesant",500,362,"0.02",181000
15981246,"Upper East Side",500,362,"0.16",181000
35683489,"Williamsburg",500,362,NULL,181000
14855614,"Midtown",500,361,"0.15",180500
31310624,"Columbia St",1080,167,NULL,180360
27385494,"Midtown",495,364,NULL,180180
34887720,"West Village",650,277,NULL,180050
35568112,"Upper West Side",800,225,NULL,180000
30193345,"Midtown",714,252,NULL,179928
23370484,"Williamsburg",1000,179,NULL,179000
12070965,"Mott Haven",500,358,NULL,179000
35882372,"Williamsburg",500,358,NULL,179000
20452409,"Midtown",672,266,"0.23",178752
30193536,"Midtown",714,250,NULL,178500
25832504,"Tribeca",1000,178,NULL,178000
28439263,"Crown Heights",785,226,NULL,177410
15595648,"Chelsea",487,364,NULL,177268
35416507,"Williamsburg",500,354,NULL,177000
34866682,"Crown Heights",830,213,NULL,176790
27214615,"West Village",483,364,NULL,175812
141335,"Park Slope",495,355,"0.41",175725
32458305,"Upper East Side",500,351,NULL,175500
32560880,"Upper East Side",500,351,NULL,175500
61224,"Chelsea",500,348,"0.34",174000
27237604,"Midtown",737,235,"0.4",173195
15126360,"Midtown",475,364,NULL,172900
13787558,"Carroll Gardens",525,327,"0.14",171675
34483427,"Midtown",475,361,NULL,171475
30193147,"Midtown",675,254,NULL,171450
25264664,"Chinatown",799,214,NULL,170986
9772486,"Williamsburg",477,358,"0.03",170766
27526997,"Eastchester",475,359,NULL,170525
3270809,"Chinatown",500,341,"0.18",170500
34415755,"Long Island City",499,341,NULL,170159
30193136,"Midtown",675,251,"0.23",169425
30193201,"Midtown",675,251,NULL,169425
21379252,"Murray Hill",577,293,"0.1",169061
15233134,"Midtown",534,316,NULL,168744
31534613,"Midtown",600,281,NULL,168600
29935981,"Greenpoint",475,354,"0.47",168150
255957,"Nolita",495,338,"0.27",167310
33267342,"Park Slope",700,239,NULL,167300
1107092,"Kips Bay",650,256,"0.48",166400
30314104,"Hell's Kitchen",499,333,NULL,166167
35229657,"Hell's Kitchen",920,180,NULL,165600
12954498,"Chelsea",700,236,"0.03",165200
35451163,"Harlem",575,287,NULL,165025
36315657,"SoHo",466,354,NULL,164964
35347096,"East Village",450,365,NULL,164250
8709068,"Upper West Side",450,365,NULL,164250
32814024,"Flushing",450,365,NULL,164250
32007435,"Chelsea",450,365,NULL,164250
27216072,"Hell's Kitchen",450,365,NULL,164250
35351599,"Hell's Kitchen",450,365,NULL,164250
30193032,"Midtown",675,243,"0.32",164025
12040331,"Greenwich Village",999,164,"0.28",163836
8411164,"Hell's Kitchen",450,364,"0.44",163800
14401928,"Flatbush",450,364,"0.03",163800
1755844,"Crown Heights",450,364,"0.25",163800
17632790,"Coney Island",450,364,"0.42",163800
6713742,"Midtown",450,364,"0.04",163800
27237583,"Midtown",737,222,"0.21",163614
1923153,"East Village",450,363,"0.28",163350
28287653,"Long Island City",600,272,"0.25",163200
19115443,"Midtown",475,343,NULL,162925
34483426,"Midtown",475,343,NULL,162925
30193036,"Midtown",675,241,NULL,162675
35903155,"East Village",450,361,NULL,162450
11234747,"Astoria",1800,90,"0.13",162000
33068174,"Elmhurst",443,365,NULL,161695
20316497,"Riverdale",600,269,NULL,161400
36303421,"Upper West Side",520,310,NULL,161200
35929061,"East Harlem",450,358,NULL,161100
30950186,"Bedford-Stuyvesant",450,357,NULL,160650
14280778,"Upper West Side",489,328,"0.22",160392
20570327,"Midtown",449,357,NULL,160293
35602964,"Kips Bay",600,267,NULL,160200
15141661,"SoHo",643,249,NULL,160107
34483439,"Midtown",450,355,NULL,159750
27237572,"Midtown",737,216,"0.42",159192
241140,"Clinton Hill",438,363,"0.46",158994
33279205,"Hell's Kitchen",794,200,NULL,158800
29138655,"Battery Park City",433,364,NULL,157612
25940097,"Harlem",800,197,"0.19",157600
34483433,"Midtown",450,350,NULL,157500
35683012,"Williamsburg",450,345,NULL,155250
2669352,"Upper West Side",425,365,"0.39",155125
12242301,"Midtown",449,345,NULL,154905
14340033,"Flatiron District",425,363,NULL,154275
14231606,"Van Nest",425,363,NULL,154275
20685952,"Unionport",450,342,"0.06",153900
34312320,"Theater District",699,220,NULL,153780
7997433,"Woodside",450,341,NULL,153450
16281547,"East Village",850,180,NULL,153000
28952972,"Midtown",450,339,NULL,152550
30387173,"Upper West Side",452,337,"0.17",152324
21604766,"Midtown",489,311,NULL,152079
30193397,"Midtown",675,225,"0.16",151875
35252737,"Murray Hill",416,365,NULL,151840
27237586,"Midtown",737,206,NULL,151822
34944655,"Long Island City",650,233,NULL,151450
21709727,"Harlem",850,178,"0.22",151300
30193035,"Midtown",675,224,"0.31",151200
34483440,"Midtown",450,336,NULL,151200
8369701,"Flatlands",414,365,"0.12",151110
35182202,"Midtown",500,302,NULL,151000
33580893,"Greenwich Village",425,353,NULL,150025
11240650,"Upper West Side",2000,75,"0.06",150000
28128149,"Theater District",410,365,NULL,149650
34483430,"Midtown",425,351,NULL,149175
70609,"East Village",500,297,"0.48",148500
11490215,"Morningside Heights",450,329,"0.33",148050
6056028,"Upper West Side",499,296,"0.38",147704
32457051,"Upper East Side",420,351,NULL,147420
27237577,"Midtown",737,200,"0.21",147400
11057550,"West Village",450,327,NULL,147150
35262993,"Crown Heights",475,308,NULL,146300
32678718,"Theater District",499,293,NULL,146207
15345019,"Greenpoint",425,344,NULL,146200
14778622,"St. Albans",400,365,NULL,146000
35228596,"Murray Hill",400,365,NULL,146000
2392051,"Lower East Side",400,365,NULL,146000
35946646,"Kips Bay",400,365,NULL,146000
840594,"West Village",400,365,"0.1",146000
250537,"Harlem",400,365,NULL,146000
28635863,"Greenwich Village",400,365,NULL,146000
7473810,"Bedford-Stuyvesant",400,365,"0.2",146000
8761013,"SoHo",399,365,"0.11",145635
15229456,"Hell's Kitchen",399,365,NULL,145635
20500896,"East Harlem",400,364,NULL,145600
14518257,"Flatbush",400,364,"0.06",145600
29281407,"Greenpoint",975,149,NULL,145275
30370630,"Greenpoint",399,364,NULL,145236
15085833,"Harlem",399,364,"0.03",145236
30528551,"Sheepshead Bay",400,363,"0.32",145200
36329299,"Upper East Side",400,363,NULL,145200
32438036,"Upper East Side",1250,116,NULL,145000
32926087,"Hell's Kitchen",446,325,NULL,144950
1948745,"Greenpoint",399,363,"0.19",144837
1615764,"Battery Park City",400,362,NULL,144800
35263416,"Midtown",750,193,NULL,144750
20204751,"SoHo",899,161,"0.22",144739
36304817,"Long Island City",450,321,NULL,144450
14488817,"Harlem",399,362,NULL,144438
22669096,"Upper West Side",395,365,NULL,144175
35709875,"Williamsburg",400,359,NULL,143600
31353429,"Murray Hill",395,363,"0.37",143385
34970373,"Sunset Park",399,359,NULL,143241
35416249,"Greenpoint",400,358,NULL,143200
27387265,"Midtown",435,329,NULL,143115
29923697,"Midtown",718,199,NULL,142882
27237512,"Midtown",699,204,"0.3",142596
27237526,"Midtown",699,204,"0.48",142596
35233037,"East Village",390,365,NULL,142350
35005774,"Greenpoint",400,355,NULL,142000
8809245,"Gramercy",410,346,"0.15",141860
22545760,"Prospect Heights",800,177,"0.34",141600
4677056,"SoHo",385,365,"0.02",140525
887355,"Murray Hill",500,281,"0.02",140500
28483408,"Midtown",385,364,NULL,140140
35007203,"Williamsburg",495,282,NULL,139590
33451336,"East Village",450,310,NULL,139500
30393286,"Hell's Kitchen",416,335,NULL,139360
35415829,"Greenpoint",400,348,NULL,139200
32182464,"Chelsea",382,364,NULL,139048
36395677,"Long Island City",396,351,NULL,138996
32371865,"Chelsea",425,327,NULL,138975
20635939,"Midtown",389,357,"0.09",138873
20620647,"Midtown",389,357,"0.13",138873
24673759,"Williamsburg",400,347,"0.35",138800
1646838,"Greenwich Village",380,365,"0.43",138700
35682980,"Williamsburg",395,351,NULL,138645
14837052,"Tribeca",800,173,"0.14",138400
15230938,"Hell's Kitchen",748,185,NULL,138380
20679666,"Hell's Kitchen",379,365,"0.14",138335
35740468,"Midtown",380,364,NULL,138320
15191225,"Midtown",462,299,"0.1",138138
14219018,"Midtown",379,364,NULL,137956
27237623,"Midtown",699,196,"0.33",137004
19322515,"Crown Heights",550,249,"0.25",136950
6389473,"Chinatown",375,365,"0.3",136875
34169395,"Tribeca",426,321,NULL,136746
27299174,"Upper East Side",395,346,NULL,136670
9920363,"Ridgewood",375,364,"0.13",136500
36416759,"Long Island City",375,364,NULL,136500
3236977,"Carroll Gardens",425,321,"0.08",136425
7803475,"Upper West Side",374,363,"0.35",135762
36080023,"Claremont Village",390,348,NULL,135720
3343038,"Chelsea",370,365,"0.13",135050
15735305,"Midtown",369,365,"0.25",134685
26247578,"Hell's Kitchen",369,365,"0.22",134685
30393194,"West Village",459,293,NULL,134487
13165301,"Forest Hills",509,264,"0.2",134376
7913426,"Theater District",369,364,NULL,134316
2214978,"Upper West Side",395,340,"0.02",134300
29966643,"East Village",750,179,NULL,134250
17974244,"Upper West Side",376,357,"0.07",134232
34180413,"Chelsea",380,353,NULL,134140
35933956,"East Village",375,357,NULL,133875
34323636,"Financial District",463,289,NULL,133807
25677571,"Long Island City",400,334,"0.36",133600
23752922,"Williamsburg",750,178,"0.13",133500
35902528,"Long Island City",375,356,NULL,133500
34518079,"Midtown",400,330,NULL,132000
20417560,"Astoria",600,220,"0.05",132000
35379061,"Kips Bay",500,264,NULL,132000
19963733,"Brooklyn Heights",585,225,"0.42",131625
31444634,"Williamsburg",400,329,NULL,131600
20857788,"Murray Hill",367,358,"0.09",131386
27216826,"Midtown",360,364,NULL,131040
25232254,"Inwood",359,365,NULL,131035
29923582,"Midtown",913,143,NULL,130559
22436770,"Hell's Kitchen",1500,87,NULL,130500
14110407,"Arverne",450,290,"0.42",130500
36388720,"Upper West Side",750,174,NULL,130500
30393944,"Upper West Side",466,280,NULL,130480
32961345,"Upper West Side",370,352,NULL,130240
36404784,"Hell's Kitchen",385,338,NULL,130130
27015464,"Midtown",395,328,NULL,129560
27015441,"Midtown",395,328,NULL,129560
11595172,"Midtown",355,364,NULL,129220
30394179,"West Village",379,340,NULL,128860
30387838,"West Village",392,328,NULL,128576
34008808,"Midtown",377,341,NULL,128557
12205049,"Rosedale",350,365,"0.39",127750
2277707,"Upper West Side",350,365,"0.14",127750
45910,"Ridgewood",350,365,"0.11",127750
27034834,"Upper West Side",350,365,"0.19",127750
19931860,"Midtown",350,365,"0.05",127750
1264663,"Prospect-Lefferts Gardens",350,365,NULL,127750
5757333,"Harlem",350,365,"0.08",127750
1981656,"Williamsburg",350,365,NULL,127750
13173263,"Chelsea",350,365,NULL,127750
644464,"Williamsburg",350,365,"0.04",127750
32714435,"Hell's Kitchen",350,364,NULL,127400
15455305,"Williamsburg",350,364,NULL,127400
32714417,"Hell's Kitchen",350,364,NULL,127400
27392814,"Murray Hill",350,364,NULL,127400
10514203,"Park Slope",350,364,NULL,127400
19114277,"Midtown",350,364,NULL,127400
36420289,"Long Island City",350,364,NULL,127400
27277569,"Midtown",350,364,NULL,127400
6542818,"Midtown",350,364,NULL,127400
1053523,"Lower East Side",350,364,"0.1",127400
926337,"Long Island City",349,365,"0.39",127385
1471244,"Long Island City",349,365,"0.36",127385
36305881,"Inwood",349,365,NULL,127385
12005922,"Midtown",369,345,NULL,127305
12110990,"Midtown",369,345,"0.12",127305
9858642,"Midtown",369,345,"0.02",127305
15801420,"Hell's Kitchen",369,345,"0.06",127305
9882440,"Hell's Kitchen",369,345,"0.07",127305
12243378,"Midtown",369,345,"0.04",127305
13190121,"Hell's Kitchen",369,345,"0.03",127305
12111387,"Midtown",369,345,NULL,127305
34593016,"Upper West Side",381,334,NULL,127254
36106800,"Greenwich Village",350,363,NULL,127050
34517087,"Midtown",350,363,NULL,127050
1313593,"East Village",465,273,"0.18",126945
1334793,"Carroll Gardens",495,256,"0.08",126720
21797820,"Williamsburg",350,362,"0.26",126700
342965,"Hell's Kitchen",350,362,"0.27",126700
35646539,"Midtown",358,353,NULL,126374
34517668,"Midtown",350,361,NULL,126350
35757257,"Hell's Kitchen",379,333,NULL,126207
4908978,"Hell's Kitchen",380,332,"0.11",126160
36145134,"Tribeca",500,252,NULL,126000
35954294,"Murray Hill",346,364,NULL,125944
34593055,"Upper West Side",377,334,NULL,125918
23322795,"Midtown",700,179,NULL,125300
34617093,"Bushwick",350,358,NULL,125300
35646392,"Midtown",358,349,NULL,124942
3408897,"Chelsea",349,358,"0.45",124942
32306605,"Midtown",365,341,NULL,124465
12102526,"Upper West Side",400,311,"0.03",124400
840667,"Greenwich Village",349,356,"0.21",124244
34511422,"Midtown",340,365,NULL,124100
2172139,"Upper West Side",340,365,"0.41",124100
33660966,"Williamsburg",400,310,NULL,124000
32608451,"Kips Bay",349,355,"0.23",123895
26946903,"Murray Hill",340,364,NULL,123760
