"id","neighbourhood_group","neighbourhood","room_type","price","minimum_nights","number_of_reviews","reviews_per_month","availability_365"
408491,"Manhattan","Greenwich Village","Entire home/apt",145,5,0,NULL,0
439870,"Brooklyn","Park Slope","Entire home/apt",299,20,0,NULL,149
450905,"Brooklyn","Park Slope","Private room",110,2,0,NULL,0
468613,"Manhattan","Lower East Side","Private room",1300,1,0,NULL,0
474283,"Manhattan","Hell's Kitchen","Entire home/apt",117,7,0,NULL,0
490011,"Brooklyn","Carroll Gardens","Private room",200,5,0,NULL,342
494296,"Brooklyn","Columbia St","Private room",75,7,0,NULL,0
501041,"Manhattan","Upper West Side","Entire home/apt",300,7,0,NULL,0
514548,"Brooklyn","Bushwick","Entire home/apt",180,30,0,NULL,352
526520,"Brooklyn","Prospect Heights","Private room",60,2,0,NULL,0
527076,"Manhattan","Upper East Side","Entire home/apt",175,2,0,NULL,0
544039,"Brooklyn","Sunset Park","Entire home/apt",120,14,0,NULL,0
547830,"Brooklyn","Flatbush","Entire home/apt",90,3,0,NULL,157
548184,"Brooklyn","Greenpoint","Private room",199,1,0,NULL,365
594732,"Manhattan","Greenwich Village","Entire home/apt",331,7,0,NULL,189
602250,"Queens","Cambria Heights","Private room",55,3,0,NULL,365
611408,"Queens","Cambria Heights","Private room",45,3,0,NULL,365
618836,"Brooklyn","Crown Heights","Entire home/apt",115,3,0,NULL,0
620214,"Queens","Astoria","Entire home/apt",175,14,0,NULL,0
622410,"Brooklyn","Crown Heights","Private room",85,2,0,NULL,0
623423,"Manhattan","Midtown","Entire home/apt",150,30,0,NULL,352
627949,"Brooklyn","Williamsburg","Entire home/apt",180,3,0,NULL,0
649561,"Manhattan","Chelsea","Entire home/apt",135,365,0,NULL,365
671496,"Brooklyn","Crown Heights","Private room",70,3,0,NULL,0
710015,"Brooklyn","Borough Park","Private room",103,3,0,NULL,0
722264,"Brooklyn","Crown Heights","Private room",60,7,0,NULL,0
746983,"Manhattan","Harlem","Private room",80,3,0,NULL,362
766814,"Manhattan","Hell's Kitchen","Entire home/apt",95,1,0,NULL,0
771436,"Queens","Ditmars Steinway","Entire home/apt",250,28,0,NULL,88
773497,"Brooklyn","Bedford-Stuyvesant","Shared room",200,1,0,NULL,365
789686,"Manhattan","Washington Heights","Private room",80,3,0,NULL,0
793590,"Brooklyn","Williamsburg","Entire home/apt",225,1,0,NULL,0
795641,"Queens","Ditmars Steinway","Private room",60,1,0,NULL,0
798008,"Brooklyn","Bedford-Stuyvesant","Private room",165,1,0,NULL,0
805793,"Queens","Long Island City","Entire home/apt",150,14,0,NULL,0
818314,"Manhattan","Harlem","Private room",35,7,0,NULL,0
826690,"Brooklyn","Prospect Heights","Entire home/apt",4000,4,0,NULL,83
832157,"Brooklyn","Bushwick","Private room",120,1,0,NULL,0
834968,"Brooklyn","Williamsburg","Entire home/apt",500,5,0,NULL,0
837256,"Manhattan","Upper East Side","Entire home/apt",280,2,0,NULL,0
839539,"Manhattan","East Village","Private room",80,7,0,NULL,31
845362,"Manhattan","West Village","Entire home/apt",250,7,0,NULL,0
848174,"Manhattan","East Village","Entire home/apt",190,1,0,NULL,0
850435,"Brooklyn","Williamsburg","Entire home/apt",55,30,0,NULL,159
853900,"Queens","Astoria","Entire home/apt",95,30,0,NULL,0
872035,"Manhattan","East Harlem","Private room",100,30,0,NULL,365
872210,"Manhattan","East Village","Private room",200,1,0,NULL,0
890794,"Queens","Jackson Heights","Private room",70,2,0,NULL,188
895368,"Manhattan","Harlem","Entire home/apt",100,180,0,NULL,365
900503,"Brooklyn","Clinton Hill","Entire home/apt",275,3,0,NULL,0
908046,"Manhattan","East Harlem","Private room",100,30,0,NULL,365
931352,"Brooklyn","Bushwick","Private room",40,5,0,NULL,0
973653,"Manhattan","Harlem","Entire home/apt",100,185,0,NULL,358
981494,"Manhattan","Morningside Heights","Entire home/apt",100,1,0,NULL,0
985338,"Brooklyn","Brooklyn Heights","Entire home/apt",100,180,0,NULL,365
1016352,"Manhattan","Hell's Kitchen","Entire home/apt",550,1,0,NULL,365
1024113,"Brooklyn","Williamsburg","Private room",63,2,0,NULL,66
1032127,"Manhattan","Chelsea","Entire home/apt",275,7,0,NULL,188
1059531,"Staten Island","Port Richmond","Entire home/apt",221,30,0,NULL,0
1067251,"Manhattan","East Village","Entire home/apt",395,5,0,NULL,0
1090732,"Queens","Richmond Hill","Shared room",60,7,0,NULL,362
1096326,"Staten Island","St. George","Entire home/apt",190,2,0,NULL,365
1100753,"Manhattan","Washington Heights","Entire home/apt",175,2,0,NULL,280
1127040,"Brooklyn","South Slope","Private room",40,90,0,NULL,311
1136399,"Manhattan","Nolita","Entire home/apt",200,3,0,NULL,0
1137999,"Queens","Jamaica","Private room",133,1,0,NULL,281
1166947,"Manhattan","Washington Heights","Private room",125,56,0,NULL,365
1171581,"Manhattan","Hell's Kitchen","Entire home/apt",1000,1,0,NULL,365
1171716,"Brooklyn","Flatbush","Private room",35,30,0,NULL,317
1183005,"Brooklyn","East Flatbush","Private room",89,2,0,NULL,365
1183236,"Queens","Long Island City","Private room",60,1,0,NULL,0
1198231,"Queens","Astoria","Shared room",50,1,0,NULL,0
1209069,"Brooklyn","South Slope","Private room",50,90,0,NULL,0
1227258,"Brooklyn","Williamsburg","Entire home/apt",220,5,0,NULL,234
1229630,"Manhattan","Harlem","Entire home/apt",100,60,0,NULL,365
1252826,"Manhattan","Upper East Side","Entire home/apt",250,3,0,NULL,10
1264663,"Brooklyn","Prospect-Lefferts Gardens","Entire home/apt",350,5,0,NULL,365
1281054,"Manhattan","East Village","Entire home/apt",200,3,0,NULL,0
1284789,"Brooklyn","Prospect Heights","Entire home/apt",390,3,0,NULL,28
1300097,"Brooklyn","Brooklyn Heights","Private room",1500,1,0,NULL,0
1308155,"Brooklyn","Bedford-Stuyvesant","Private room",133,7,0,NULL,0
1337148,"Manhattan","Inwood","Entire home/apt",125,6,0,NULL,0
1347175,"Bronx","Kingsbridge","Private room",90,3,0,NULL,353
1354775,"Manhattan","NoHo","Entire home/apt",250,1,0,NULL,0
1360932,"Manhattan","Harlem","Private room",120,15,0,NULL,365
1374457,"Brooklyn","Williamsburg","Private room",55,28,0,NULL,365
1398234,"Manhattan","Nolita","Entire home/apt",217,30,0,NULL,293
1398326,"Brooklyn","Fort Hamilton","Entire home/apt",90,7,0,NULL,0
1408914,"Manhattan","Chelsea","Entire home/apt",200,3,0,NULL,345
1420295,"Brooklyn","Williamsburg","Entire home/apt",200,7,0,NULL,345
1425801,"Brooklyn","Williamsburg","Private room",70,10,0,NULL,365
1428371,"Queens","Astoria","Private room",75,6,0,NULL,180
1442450,"Brooklyn","Bedford-Stuyvesant","Private room",72,3,0,NULL,365
1446009,"Brooklyn","Williamsburg","Private room",138,1,0,NULL,29
1452786,"Queens","Bellerose","Shared room",150,2,0,NULL,365
1586935,"Manhattan","Gramercy","Entire home/apt",250,365,0,NULL,365
1615764,"Manhattan","Battery Park City","Entire home/apt",400,1000,0,NULL,362
1620248,"Manhattan","East Village","Entire home/apt",10,30,0,NULL,137
1655880,"Manhattan","Flatiron District","Entire home/apt",1200,1,0,NULL,0
1682258,"Manhattan","Kips Bay","Entire home/apt",200,1,0,NULL,0
1683227,"Manhattan","Morningside Heights","Private room",220,1,0,NULL,365
1695731,"Manhattan","Murray Hill","Private room",55,1,0,NULL,0
1702032,"Brooklyn","Greenpoint","Private room",90,1,0,NULL,0
1741745,"Manhattan","East Harlem","Private room",95,1,0,NULL,0
1762513,"Queens","Long Island City","Entire home/apt",275,7,0,NULL,0
1777674,"Brooklyn","Crown Heights","Private room",75,1,0,NULL,58
1786408,"Brooklyn","Greenpoint","Private room",70,3,0,NULL,0
1787771,"Brooklyn","Bedford-Stuyvesant","Entire home/apt",185,1,0,NULL,0
1798271,"Staten Island","Woodrow","Entire home/apt",700,7,0,NULL,0
1805261,"Manhattan","Flatiron District","Entire home/apt",475,1,0,NULL,0
1810640,"Manhattan","Harlem","Private room",140,1,0,NULL,365
1823141,"Manhattan","Lower East Side","Entire home/apt",92,2,0,NULL,0
1834738,"Manhattan","Chelsea","Entire home/apt",300,5,0,NULL,0
1836381,"Brooklyn","Bedford-Stuyvesant","Private room",85,2,0,NULL,0
1839231,"Manhattan","East Village","Entire home/apt",150,1,0,NULL,0
1843034,"Manhattan","Midtown","Entire home/apt",295,2,0,NULL,0
1853765,"Manhattan","Upper East Side","Entire home/apt",550,1,0,NULL,0
1856627,"Brooklyn","Crown Heights","Private room",175,5,0,NULL,359
1861281,"Manhattan","East Village","Private room",1700,1,0,NULL,0
1865884,"Manhattan","Harlem","Entire home/apt",139,5,0,NULL,0
1873531,"Manhattan","Lower East Side","Entire home/apt",145,1,0,NULL,0
1876969,"Brooklyn","Bedford-Stuyvesant","Entire home/apt",150,1,0,NULL,0
1884398,"Manhattan","West Village","Entire home/apt",249,60,0,NULL,363
1886240,"Manhattan","SoHo","Entire home/apt",245,1,0,NULL,0
1886294,"Brooklyn","DUMBO","Entire home/apt",150,9,0,NULL,0
1887489,"Brooklyn","Prospect-Lefferts Gardens","Entire home/apt",175,1,0,NULL,0
1887874,"Brooklyn","Williamsburg","Private room",40,7,0,NULL,331
1898110,"Brooklyn","Gowanus","Private room",200,2,0,NULL,365
1908986,"Manhattan","Upper East Side","Entire home/apt",350,1,0,NULL,0
1914759,"Manhattan","Chelsea","Entire home/apt",225,2,0,NULL,17
1931341,"Manhattan","Financial District","Private room",40,1,0,NULL,0
1941094,"Manhattan","East Harlem","Private room",50,30,0,NULL,356
1944891,"Brooklyn","Williamsburg","Entire home/apt",49,7,0,NULL,0
1950318,"Manhattan","Hell's Kitchen","Entire home/apt",200,5,0,NULL,0
1954429,"Manhattan","Washington Heights","Entire home/apt",150,4,0,NULL,0
1960045,"Brooklyn","Williamsburg","Private room",80,31,0,NULL,0
1965712,"Manhattan","Upper West Side","Entire home/apt",235,1,0,NULL,0
1971635,"Brooklyn","Windsor Terrace","Entire home/apt",100,15,0,NULL,0
1979579,"Manhattan","Upper West Side","Entire home/apt",300,1,0,NULL,0
1979848,"Brooklyn","Park Slope","Entire home/apt",175,1,0,NULL,0
1981656,"Brooklyn","Williamsburg","Entire home/apt",350,5,0,NULL,365
1989838,"Manhattan","Midtown","Entire home/apt",1500,1,0,NULL,0
1992751,"Brooklyn","Bushwick","Entire home/apt",90,3,0,NULL,0
1994548,"Manhattan","Roosevelt Island","Entire home/apt",150,1,0,NULL,0
2003807,"Manhattan","Upper West Side","Entire home/apt",1000,1,0,NULL,0
2017012,"Manhattan","West Village","Entire home/apt",850,3,0,NULL,0
2021742,"Manhattan","Midtown","Entire home/apt",159,7,0,NULL,0
2022126,"Manhattan","Midtown","Private room",500,5,0,NULL,0
2022920,"Manhattan","Upper East Side","Entire home/apt",250,1,0,NULL,0
2025779,"Manhattan","East Village","Entire home/apt",175,4,0,NULL,0
2026434,"Brooklyn","Greenpoint","Entire home/apt",500,5,0,NULL,0
2026869,"Manhattan","East Village","Entire home/apt",120,5,0,NULL,0
2028625,"Manhattan","Harlem","Entire home/apt",300,3,0,NULL,0
2037951,"Manhattan","West Village","Private room",500,365,0,NULL,0
2044392,"Brooklyn","Williamsburg","Entire home/apt",250,4,0,NULL,0
2045097,"Manhattan","Lower East Side","Entire home/apt",100,7,0,NULL,0
2046273,"Brooklyn","Sunset Park","Private room",40,25,0,NULL,0
2049322,"Brooklyn","Williamsburg","Private room",45,7,0,NULL,0
2050406,"Manhattan","Midtown","Entire home/apt",250,1,0,NULL,0
2054899,"Manhattan","West Village","Entire home/apt",1000,3,0,NULL,0
2055467,"Manhattan","East Village","Entire home/apt",150,1,0,NULL,0
2060768,"Manhattan","West Village","Entire home/apt",800,1,0,NULL,0
2061367,"Manhattan","Upper West Side","Private room",100,2,0,NULL,0
2065101,"Queens","Astoria","Private room",35,7,0,NULL,0
2065985,"Queens","Sunnyside","Private room",50,1,0,NULL,0
2069059,"Brooklyn","South Slope","Private room",85,10,0,NULL,0
2070290,"Manhattan","Hell's Kitchen","Entire home/apt",599,1,0,NULL,0
2071941,"Brooklyn","Greenpoint","Entire home/apt",200,5,0,NULL,0
2075377,"Manhattan","Kips Bay","Entire home/apt",175,3,0,NULL,0
2083791,"Brooklyn","Bedford-Stuyvesant","Private room",100,1,0,NULL,220
2083824,"Brooklyn","Williamsburg","Entire home/apt",575,1,0,NULL,0
2087663,"Queens","Astoria","Entire home/apt",130,5,0,NULL,0
2089273,"Brooklyn","Williamsburg","Entire home/apt",180,2,0,NULL,0
2091483,"Brooklyn","Prospect Heights","Private room",75,1,0,NULL,188
2101710,"Manhattan","Hell's Kitchen","Entire home/apt",175,1,0,NULL,0
2103480,"Manhattan","Upper West Side","Entire home/apt",560,1,0,NULL,0
2104588,"Manhattan","Theater District","Entire home/apt",240,4,0,NULL,0
2106662,"Manhattan","West Village","Entire home/apt",156,1,0,NULL,0
2106706,"Manhattan","East Village","Private room",120,1,0,NULL,0
2107372,"Manhattan","Upper West Side","Entire home/apt",400,1,0,NULL,0
2108635,"Brooklyn","Prospect-Lefferts Gardens","Private room",100,4,0,NULL,0
2112344,"Brooklyn","Bushwick","Private room",75,5,0,NULL,0
2113431,"Brooklyn","Greenpoint","Private room",70,1,0,NULL,0
2115773,"Brooklyn","South Slope","Private room",120,7,0,NULL,0
2122613,"Manhattan","West Village","Entire home/apt",325,1,0,NULL,0
2126376,"Brooklyn","Williamsburg","Private room",60,4,0,NULL,0
2127382,"Manhattan","Upper East Side","Entire home/apt",150,1,0,NULL,0
2132248,"Brooklyn","Williamsburg","Private room",95,5,0,NULL,0
2135766,"Manhattan","Upper West Side","Entire home/apt",900,1,0,NULL,0
2136511,"Brooklyn","Bedford-Stuyvesant","Private room",60,7,0,NULL,365
2137714,"Brooklyn","Bushwick","Entire home/apt",200,7,0,NULL,0
2142092,"Manhattan","Washington Heights","Private room",300,2,0,NULL,365
2149184,"Manhattan","SoHo","Entire home/apt",900,1,0,NULL,0
2150328,"Manhattan","East Village","Entire home/apt",850,1,0,NULL,0
2150727,"Manhattan","Gramercy","Entire home/apt",2000,1,0,NULL,0
2151259,"Manhattan","Upper West Side","Entire home/apt",750,3,0,NULL,0
2158171,"Manhattan","Financial District","Entire home/apt",575,1,0,NULL,0
2164631,"Manhattan","Upper East Side","Entire home/apt",99,1,0,NULL,0
2169765,"Manhattan","Murray Hill","Entire home/apt",2000,1,0,NULL,0
2171809,"Brooklyn","Williamsburg","Private room",99,1,0,NULL,0
2185842,"Manhattan","Hell's Kitchen","Entire home/apt",850,1,0,NULL,0
2186138,"Manhattan","Midtown","Entire home/apt",950,1,0,NULL,0
2186452,"Manhattan","Tribeca","Entire home/apt",1500,1,0,NULL,0
2187847,"Manhattan","West Village","Entire home/apt",300,2,0,NULL,0
2189129,"Brooklyn","Park Slope","Entire home/apt",250,1,0,NULL,0
2189450,"Manhattan","East Village","Entire home/apt",100,10,0,NULL,0
4840211,"Manhattan","Hell's Kitchen","Private room",200,1,0,NULL,0
2193027,"Manhattan","Upper East Side","Entire home/apt",300,1,0,NULL,0
2203450,"Brooklyn","Williamsburg","Entire home/apt",250,10,0,NULL,0
2206311,"Manhattan","Midtown","Entire home/apt",140,3,0,NULL,0
2210088,"Manhattan","Chelsea","Entire home/apt",900,1,0,NULL,0
2211028,"Brooklyn","Greenpoint","Entire home/apt",225,5,0,NULL,0
2214710,"Brooklyn","Greenpoint","Entire home/apt",159,30,0,NULL,349
2216470,"Brooklyn","Bushwick","Private room",145,1,0,NULL,0
2217398,"Manhattan","Kips Bay","Entire home/apt",1500,1,0,NULL,0
2219294,"Manhattan","Upper West Side","Entire home/apt",60,1,0,NULL,0
2220959,"Manhattan","Kips Bay","Entire home/apt",749,1,0,NULL,0
2222428,"Manhattan","Midtown","Entire home/apt",1000,3,0,NULL,0
2224896,"Manhattan","Upper West Side","Entire home/apt",4000,1,0,NULL,0
2227377,"Manhattan","Gramercy","Entire home/apt",650,1,0,NULL,0
2228296,"Manhattan","Midtown","Entire home/apt",750,4,0,NULL,0
2230982,"Manhattan","Financial District","Shared room",1000,1,0,NULL,0
2231814,"Brooklyn","Williamsburg","Entire home/apt",1200,1,0,NULL,0
2237981,"Manhattan","Upper East Side","Entire home/apt",250,1,0,NULL,0
2238435,"Manhattan","Harlem","Entire home/apt",100,1,0,NULL,0
2240196,"Manhattan","Chelsea","Entire home/apt",395,3,0,NULL,0
2243266,"Brooklyn","Bensonhurst","Entire home/apt",40,2,0,NULL,0
2243699,"Manhattan","Little Italy","Entire home/apt",5250,1,0,NULL,0
2243769,"Manhattan","Upper West Side","Entire home/apt",1500,1,0,NULL,0
2243962,"Manhattan","Upper West Side","Private room",125,2,0,NULL,0
2243984,"Manhattan","West Village","Entire home/apt",1500,1,0,NULL,0
2248580,"Manhattan","Greenwich Village","Entire home/apt",1000,1,0,NULL,0
2249878,"Manhattan","Upper West Side","Entire home/apt",375,1,0,NULL,0
2249928,"Manhattan","Upper West Side","Entire home/apt",1000,1,0,NULL,0
2250170,"Manhattan","Stuyvesant Town","Entire home/apt",1500,1,0,NULL,0
2250372,"Manhattan","Kips Bay","Entire home/apt",1550,2,0,NULL,0
2252844,"Manhattan","East Village","Private room",500,1,0,NULL,0
2253397,"Manhattan","Upper East Side","Entire home/apt",500,3,0,NULL,0
2254469,"Manhattan","Upper East Side","Entire home/apt",400,2,0,NULL,0
2256519,"Manhattan","Chelsea","Entire home/apt",750,2,0,NULL,0
2257080,"Manhattan","Hell's Kitchen","Entire home/apt",350,1,0,NULL,0
2259331,"Manhattan","Battery Park City","Entire home/apt",425,2,0,NULL,0
2259719,"Manhattan","SoHo","Entire home/apt",200,1,0,NULL,0
2259813,"Manhattan","Chelsea","Entire home/apt",1000,3,0,NULL,0
2260029,"Brooklyn","Williamsburg","Private room",100,7,0,NULL,0
2260042,"Queens","Astoria","Shared room",65,1,0,NULL,0
2260274,"Manhattan","Greenwich Village","Private room",1250,1,0,NULL,0
2267006,"Brooklyn","Greenpoint","Entire home/apt",149,30,0,NULL,330
2268632,"Queens","Sunnyside","Entire home/apt",600,4,0,NULL,0
2268845,"Manhattan","Kips Bay","Entire home/apt",400,1,0,NULL,0
2271504,"Brooklyn","Clinton Hill","Entire home/apt",6500,1,0,NULL,0
2272080,"Brooklyn","Gowanus","Entire home/apt",265,3,0,NULL,0
2273019,"Manhattan","Upper West Side","Entire home/apt",150,1,0,NULL,0
2274084,"Manhattan","Kips Bay","Entire home/apt",2750,1,0,NULL,0
2276065,"Manhattan","Midtown","Entire home/apt",1500,1,0,NULL,0
2276383,"Manhattan","Greenwich Village","Entire home/apt",2500,1,0,NULL,0
2281142,"Manhattan","East Village","Entire home/apt",3750,1,0,NULL,0
2282085,"Brooklyn","Williamsburg","Entire home/apt",500,1,0,NULL,0
2283143,"Manhattan","Upper West Side","Entire home/apt",800,7,0,NULL,0
2284454,"Manhattan","Upper East Side","Entire home/apt",1600,1,0,NULL,0
2284484,"Manhattan","Upper West Side","Entire home/apt",85,5,0,NULL,0
2285355,"Manhattan","Upper West Side","Entire home/apt",750,1,0,NULL,0
2289119,"Brooklyn","Williamsburg","Entire home/apt",250,1,0,NULL,0
2291507,"Brooklyn","Williamsburg","Private room",73,14,0,NULL,0
2291575,"Queens","Astoria","Shared room",300,1,0,NULL,0
2291943,"Manhattan","Upper East Side","Entire home/apt",1000,1,0,NULL,0
2294594,"Manhattan","Midtown","Private room",600,1,0,NULL,0
2294663,"Manhattan","Hell's Kitchen","Entire home/apt",800,1,0,NULL,0
2297192,"Manhattan","Financial District","Entire home/apt",1000,1,0,NULL,0
2297259,"Brooklyn","Boerum Hill","Entire home/apt",900,1,0,NULL,365
2297951,"Manhattan","Tribeca","Private room",70,14,0,NULL,0
2298759,"Manhattan","Hell's Kitchen","Entire home/apt",425,1,0,NULL,0
2305170,"Brooklyn","Bay Ridge","Entire home/apt",86,2,0,NULL,0
2309559,"Manhattan","East Village","Entire home/apt",350,1,0,NULL,0
2319588,"Manhattan","Financial District","Private room",130,7,0,NULL,157
2322189,"Manhattan","Upper East Side","Private room",300,1,0,NULL,0
2329047,"Manhattan","Upper West Side","Entire home/apt",400,1,0,NULL,0
2346089,"Brooklyn","Bedford-Stuyvesant","Private room",60,2,0,NULL,0
2346335,"Brooklyn","Crown Heights","Entire home/apt",145,2,0,NULL,0
2350883,"Brooklyn","Williamsburg","Private room",56,12,0,NULL,0
2376206,"Manhattan","Hell's Kitchen","Entire home/apt",100,1,0,NULL,4
2379865,"Brooklyn","Crown Heights","Private room",38,3,0,NULL,0
2380403,"Brooklyn","Crown Heights","Private room",75,2,0,NULL,0
2383233,"Brooklyn","Bedford-Stuyvesant","Entire home/apt",175,27,0,NULL,148
2392051,"Manhattan","Lower East Side","Entire home/apt",400,7,0,NULL,365
2392814,"Manhattan","Lower East Side","Private room",75,1,0,NULL,0
2416191,"Brooklyn","Williamsburg","Private room",70,1,0,NULL,0
2425871,"Manhattan","Tribeca","Private room",500,1,0,NULL,0
2431784,"Manhattan","Upper West Side","Entire home/apt",220,5,0,NULL,0
2447298,"Manhattan","SoHo","Entire home/apt",650,5,0,NULL,83
2458811,"Queens","Astoria","Entire home/apt",83,14,0,NULL,0
2459587,"Manhattan","Upper East Side","Entire home/apt",180,1,0,NULL,0
2459916,"Brooklyn","Bedford-Stuyvesant","Private room",18,1,0,NULL,0
2467680,"Manhattan","Upper West Side","Entire home/apt",200,4,0,NULL,0
2477138,"Queens","Ozone Park","Private room",30,7,0,NULL,0
2485482,"Queens","Jackson Heights","Shared room",75,2,0,NULL,0
2507612,"Brooklyn","Borough Park","Private room",49,3,0,NULL,180
2509617,"Manhattan","Upper East Side","Entire home/apt",600,1,0,NULL,0
2519879,"Manhattan","Lower East Side","Private room",110,3,0,NULL,0
2524058,"Manhattan","East Village","Entire home/apt",160,5,0,NULL,0
2530057,"Manhattan","Harlem","Private room",99,1,0,NULL,0
2539759,"Manhattan","Harlem","Private room",200,1,0,NULL,0
2576750,"Brooklyn","Bay Ridge","Entire home/apt",125,5,0,NULL,213
2581456,"Manhattan","East Harlem","Entire home/apt",120,7,0,NULL,6
2607741,"Manhattan","Upper East Side","Entire home/apt",117,30,0,NULL,331
2611869,"Brooklyn","Bushwick","Entire home/apt",115,14,0,NULL,0
2612035,"Manhattan","Upper West Side","Entire home/apt",90,5,0,NULL,0
2635913,"Brooklyn","Bedford-Stuyvesant","Entire home/apt",180,1,0,NULL,0
2650690,"Brooklyn","Carroll Gardens","Private room",150,4,0,NULL,257
2657689,"Manhattan","Harlem","Shared room",100,1,0,NULL,0
2660538,"Brooklyn","Williamsburg","Entire home/apt",94,2,0,NULL,0
2671402,"Brooklyn","Williamsburg","Entire home/apt",150,4,0,NULL,0
2685844,"Brooklyn","Crown Heights","Private room",50,30,0,NULL,281
2694916,"Manhattan","Hell's Kitchen","Entire home/apt",225,30,0,NULL,343
2695372,"Manhattan","Kips Bay","Entire home/apt",125,2,0,NULL,0
2722391,"Brooklyn","Williamsburg","Private room",70,7,0,NULL,0
2723554,"Manhattan","Chelsea","Entire home/apt",110,25,0,NULL,0
2771877,"Manhattan","Upper West Side","Entire home/apt",150,20,0,NULL,0
2782449,"Brooklyn","Carroll Gardens","Entire home/apt",150,4,0,NULL,0
2789713,"Brooklyn","Boerum Hill","Entire home/apt",160,5,0,NULL,24
2793740,"Manhattan","East Village","Private room",250,3,0,NULL,365
2807939,"Brooklyn","Flatbush","Entire home/apt",100,8,0,NULL,0
2833998,"Manhattan","Harlem","Private room",55,5,0,NULL,90
2838061,"Manhattan","East Harlem","Private room",299,1,0,NULL,365
2838354,"Brooklyn","Prospect Heights","Entire home/apt",99,17,0,NULL,0
2851945,"Brooklyn","Carroll Gardens","Entire home/apt",150,2,0,NULL,0
2854050,"Brooklyn","Bushwick","Private room",100,20,0,NULL,0
2856478,"Brooklyn","Fort Greene","Entire home/apt",150,3,0,NULL,0
2863696,"Brooklyn","Williamsburg","Private room",95,3,0,NULL,0
2887581,"Brooklyn","Prospect Heights","Private room",45,20,0,NULL,0
2899082,"Brooklyn","Williamsburg","Entire home/apt",150,3,0,NULL,0
2904330,"Brooklyn","Prospect Heights","Entire home/apt",450,30,0,NULL,0
2909006,"Manhattan","Battery Park City","Entire home/apt",325,1,0,NULL,0
2925138,"Manhattan","Hell's Kitchen","Entire home/apt",250,1,0,NULL,0
2954785,"Manhattan","Murray Hill","Entire home/apt",169,5,0,NULL,0
2958912,"Manhattan","Midtown","Entire home/apt",140,300,0,NULL,365
2975715,"Manhattan","Greenwich Village","Entire home/apt",161,21,0,NULL,0
3013383,"Brooklyn","Cobble Hill","Entire home/apt",795,6,0,NULL,14
3021617,"Brooklyn","Downtown Brooklyn","Entire home/apt",135,2,0,NULL,0
3032355,"Manhattan","Upper East Side","Private room",70,2,0,NULL,0
